
> mockmob@0.1.0 nta:sample
> node --use-system-ca scripts/nta-sample.mjs --subject=accountancy --runs=1


## Loaded 1517 candidate rows for accountancy

# NTA sample subject=accountancy run=1
selected=50/50 canBuild50=true durationMinutes=60
topRejectReasons=[{"reason":"generic_textbook_one_liner","count":181},{"reason":"options_invalid","count":52},{"reason":"orphan_passage_question","count":6},{"reason":"question_missing_or_too_short","count":1}]
idx | id | chapter | type | passage_group_id | real_passage | text | warnings
---: | --- | --- | --- | --- | --- | --- | ---
1 | 00802b28-ffc6-4998-a8ca-5a1e81caec0a | Profit & Loss Appropriation Account | assertion_reason |  | no | Assertion (A): Interest on capital is an appropriation of profits. Reason (R): It is deducted from net profit in the Pr... | -
2 | 2225253a-e56f-4bee-9c1e-c2d1bbf2a536 | Debentures |  |  | no | Delta Ltd. issued 6,000, 9% Debentures of ₹400 each at a discount of 6%. What will be the amount credited to the 9% Deb... | -
3 | a9dfb985-59f9-42fa-af13-701f0e2974c6 | Cash Flow Statement |  |  | no | Net Profit before tax and extraordinary items is ₹4,00,000. Depreciation for the year is ₹25,000 and loss on sale of ma... | -
4 | ab40c3fd-847e-493f-9987-c2701750f83b | Debentures |  |  | no | Vertex Ltd. issued 4,000, 9% Debentures of ₹300 each at a discount of 5%. What will be the amount credited to the 9% De... | -
5 | 12ab9884-0e24-4628-9126-3967978d3374 | Cash Flow Statement |  |  | no | Net Profit before tax and extraordinary items is ₹1,60,000. Depreciation for the year is ₹10,000 and loss on sale of ma... | -
6 | eeef414e-69e7-439d-92d6-84be708abb66 | Share Capital |  |  | no | How are calls in arrears normally presented in the balance sheet of a company? | -
7 | 950c8b46-8452-4c6a-8f39-d7cfccccdf4b | Debentures |  |  | no | Omega Ltd. issued 7,000, 9% Debentures of ₹200 each at a discount of 8%. What will be the amount credited to the 9% Deb... | -
8 | 9e749b7a-5191-4808-8096-4cb05792f014 | Cash Flow Statement |  |  | no | Net Profit before tax and extraordinary items is ₹4,80,000. Depreciation for the year is ₹25,000 and loss on sale of ma... | -
9 | ad5cbde6-96ff-4ec0-a0f4-58814acbc827 | Debentures |  |  | no | Delta Ltd. issued 2,000, 9% Debentures of ₹100 each at a discount of 8%. What will be the amount credited to the 9% Deb... | -
10 | a240e34b-d79b-446b-a38b-fe433b98672b | Debentures |  |  | no | Vertex Ltd. issued 8,000, 9% Debentures of ₹400 each at a discount of 6%. What will be the amount credited to the 9% De... | -
11 | 00e30f6f-9ed7-43d5-a9f3-f7ba4a84781e | Partnership Fundamentals |  |  | no | Rahul and Varun are partners. Rahul's capital is ₹1,30,000 and Varun's capital is ₹2,20,000. If the partnership deed pr... | -
12 | e839a517-afb2-4cd8-82e2-e016fef747d5 | Cash Flow Statement |  |  | no | Net Profit before tax and extraordinary items is ₹4,60,000. Depreciation for the year is ₹35,000 and loss on sale of ma... | -
13 | a96a5eb9-c783-4f93-9d3c-dcd8f9b72623 | Computerized Accounting System |  |  | no | In a computerized accounting system like Busy, which of the following is considered the primary document for recording ... | -
