
> mockmob@0.1.0 nta:sample
> node --use-system-ca scripts/nta-sample.mjs --subject=mathematics --runs=1


## Loaded 470 candidate rows for mathematics

# NTA sample subject=mathematics run=1
selected=50/50 canBuild50=true durationMinutes=60
topRejectReasons=[{"reason":"generic_textbook_one_liner","count":48},{"reason":"malformed_question_text","count":19},{"reason":"question_missing_or_too_short","count":15},{"reason":"options_invalid","count":11},{"reason":"orphan_passage_question","count":1}]
idx | id | chapter | type | passage_group_id | real_passage | text | warnings
---: | --- | --- | --- | --- | --- | --- | ---
1 | 4e51e290-24a6-4248-8edd-9b5b8f6fcafb | Differential Equations | statement_based |  | no | Consider the following statements about differential equations: Statement I: The order of the differential equation \( ... | -
2 | aa1cf5e0-bc9e-48d7-8baa-8f70b9206f17 | Continuity & Differentiability |  |  | no | Case: Two differentiable signals f(t) and g(t) model competing sensor outputs and h(t)=max{f(t),g(t)}. At time t0 the s... | -
3 | 1a307a4a-0e13-4fb4-9d0c-df2acbb1240b | Application of Integrals |  |  | no | Assertion: For any odd integrable function f, ∫_{-a}^{a} f(x) dx = 0. Reason: An odd function satisfies f(-x) = -f(x) f... | -
4 | f713c81c-e0fe-4779-ad64-999e876ae57f | Vector Algebra |  |  | no | If a = (1, 0, 2), b = (0, 3, 0) and c = (1, 4, 5), the volume of the parallelepiped formed by these vectors is equal to | -
5 | e303f625-b148-4ae2-a6dc-d047290cfa67 | Integrals |  |  | no | A metal rod of length L has temperature distribution T(x)=20+10 sin(π x/L) (temperature in °C, x in [0,L]). The average... | -
6 | 49270ae6-5503-4d17-a313-6044c7889f24 | Probability Distributions |  |  | no | For a continuous distribution with cumulative distribution function F, which statement best characterizes a median m? | -
7 | 5d0850cd-9267-4b02-98b8-5fe60c9efbc4 | Application of Integrals |  |  | no | Assertion: For a continuous nonnegative function f on [a,b], the root-mean-square (RMS) equals the arithmetic mean if a... | -
8 | bdd24762-c6bf-4e1c-a7a6-5ee5bcfff9b3 | Relations & Functions |  |  | no | Assertion: A function f(x) = x^2 is not one-to-one on the set of real numbers. Reason: For any real number y > 0, there... | -
9 | 556852ed-b86d-44fc-a73b-7418a410ca9e | Relations & Functions |  |  | no | Which of the following statements about inverses and one-sided inverses of functions is correct? (All functions between... | -
10 | 91516fc4-ed63-49b1-9307-df306e95d3c8 | Relations & Functions |  |  | no | A logger samples a system every 15 minutes from 09:00 to 12:00 inclusive. The sampling times are mapped to hour index h... | -
11 | 7edf4fcc-9c9d-4893-8ba3-0483573f2253 | Integrals |  |  | no | Match List I (integrals) with List II (an antiderivative). List I: (i) ∫ dx/(1+x^2) (ii) ∫ dx/√(a^2-x^2) (iii) ∫ x/√(1-... | -
12 | cd49dd81-06b4-4f26-9fe9-5aa06c9f6061 | Application of Derivatives |  |  | no | Case: X1,...,Xn are i.i.d. with density f(x;θ)=θ x^{θ-1}, 0<x<1, θ>0. The derivative of the log-likelihood (score funct... | -
13 | 18a9e3bd-e4c3-4c9c-9e94-54043dd75a00 | Vector Algebra |  |  | no | Let plane 2x - y + 3z = 0. Find the distance of the point P(4, -1, 2) from the plane. | -
14 | 6666e0a8-4329-4ee5-bd81-0fb46a3fa8df | Linear Programming |  |  | no | Which of the following systems represents an infeasible linear programming feasible region? | -
15 | 14a8db2f-0f9d-43d0-9ce9-8eac06ea5652 | Relations & Functions |  |  | no | Consider functions f,g: R→R where f is even (f(−x)=f(x)) and g is odd (g(−x)=−g(x)). Which of the following statements ... | -
16 | 18b269e7-4b15-4a34-a583-3b80571ec244 | Relations & Functions |  |  | no | A relation R is defined on the set of real numbers as a R b if a^2 = b^2. Is this relation reflexive, symmetric, and/or... | -
