
> mockmob@0.1.0 nta:sample
> node --use-system-ca scripts/nta-sample.mjs --subject=english --runs=10


## Loaded 388 candidate rows for english

# NTA sample subject=english run=1
selected=50/50 canBuild50=true durationMinutes=60
topRejectReasons=[{"reason":"orphan_passage_question","count":212},{"reason":"generic_english_assertion_reason_without_context","count":13},{"reason":"question_missing_or_too_short","count":9},{"reason":"generic_textbook_one_liner","count":8}]
idx | id | chapter | type | passage_group_id | real_passage | text | warnings
---: | --- | --- | --- | --- | --- | --- | ---
1 | 459ac193-3644-48d5-89d8-f08be64d1b49 | Para Jumbles | para_jumble |  | no | Rearrange the following sentences to form a coherent paragraph: A. Green roofs and reflective materials can mitigate th... | -
2 | 759c3916-a134-45b1-a8cc-98e347c54a6d | Para Jumbles | para_jumble |  | no | Rearrange the following sentences to form a coherent paragraph: A. The ease of sharing information online has also ampl... | -
3 | c13f9a2e-f5d8-4e2c-8c96-b8b1ce0656e1 | Para Jumbles | para_jumble |  | no | Rearrange the following sentences to form a coherent paragraph: A. Social media algorithms are designed to maximize eng... | -
4 | c13f86d8-8961-4c54-bb8f-b06d6bd8c73e | Correct Word Usage |  |  | no | Select the sentence that shows correct subject-verb agreement with a collective noun used as a single unit: | -
5 | 17508e4a-7052-4221-a4c2-1e5c3647b950 | Para Jumbles |  |  | no | Arrange the following parts to form a meaningful sentence: P. a useful book Q. I found R. at the fair S. yesterday | -
6 | 6a67f64a-48a9-4388-bd17-318fe2f31d4c | Vocabulary |  |  | no | Statement I: The word 'benevolent' implies a desire to do good. Statement II: 'Malevolent' means having a kind disposit... | -
7 | 9778589e-2792-43ef-b432-0ac706b51551 | Para Jumbles |  |  | no | Arrange the following parts to form a meaningful sentence: P. because it was raining Q. we stayed indoors R. the whole ... | -
8 | 9e237220-91a1-4575-8f1c-f2810eed2702 | Match the Following |  |  | no | Match List I (prose technique) with List II (how it supports characterization). List I: 1 free indirect discourse, 2 ep... | -
9 | 14bddd76-de4f-4ae3-9fb6-18840332d62f | Para Jumbles |  |  | no | Arrange the following parts to form a meaningful sentence: P. for the meeting Q. arrived late R. due to traffic S. the ... | -
10 | c0c84c23-1c56-4714-ba01-d78faa4b7502 | Match the Following |  |  | no | Match List I (note-making elements) with List II (purpose). List I: 1 Headings 2 Abbreviations 3 Indicators (arrows, st... | -
11 | f5d63bee-d9e2-42a3-86b8-27a46011763d | Match the Following |  |  | no | Match List I with List II: List I (Text Feature) (a) Heading (b) Caption List II (Purpose) (i) Explains an image (ii) I... | -
12 | 4ce849e0-9e45-43fa-a6b4-3a0cc44246c3 | Match the Following |  |  | no | Match List I (cohesive device) with List II (primary function). List I: 1 Repetition 2 Pronoun referencing 3 Transition... | -
13 | 7c7042be-3694-473c-88d0-ea94e1272313 | Para Jumbles |  |  | no | Arrange the following parts to form a meaningful sentence: P. in the garden Q. were playing R. the children S. happily | -
14 | 9ab866f3-fc98-4b38-8332-d89ba83e7989 | Para Jumbles |  |  | no | Arrange the following parts to form a meaningful sentence: P. the school bus Q. reached the stop R. before 7 a.m. S. ev... | -
15 | a8211db0-f696-445e-b45d-38e38fdd29ce | Match the Following |  |  | no | Match List I (poetic device) with List II (example). List I: 1 Metonymy, 2 Synecdoche, 3 Metaphor, 4 Personification. L... | -
16 | 48e7af04-5458-45aa-9a73-1a843aa6a672 | Correct Word Usage |  |  | no | Case: A four-line stanza uses short lines that break sentences across lines (enjambment) and also contains mid-line pun... | -
17 | 3fe710b3-a248-4720-bbc0-13831d73f498 | Para Jumbles |  |  | no | Arrange the following parts to form a meaningful sentence: P. after dinner Q. my grandfather R. tells us stories S. eve... | -
18 | 86749dec-42ff-4cd8-b867-7792416c89f4 | Vocabulary |  |  | no | Assertion: A strong vocabulary enhances reading fluency. Reason: Knowing more words reduces the need to pause and decod... | -
19 | b0ca1a8c-d7c8-4f55-9845-18b332b08de1 | Vocabulary |  |  | no | In the sentence 'The storm finally began to abate', which word is the closest synonym in meaning? | -
20 | 8e8da505-f073-4f67-9b14-2a18cc44616b | Correct Word Usage |  |  | no | Assertion: Ordering points chronologically in notes always improves clarity. Reason: Chronological order presents event... | -
21 | e4d3fd44-2ec6-4add-b552-b97d3287f310 | Vocabulary |  |  | no | Assertion: Verbal irony occurs when a speaker's words mean the opposite of their literal sense. Reason: Sarcasm is iden... | -
22 | ee01ba25-13c8-4dc9-a651-5dca155c0020 | Correct Word Usage |  |  | no | Choose the sentence that correctly uses commas to avoid an unintended meaning: | -
23 | 7c23be75-e553-40ea-9982-a88456f9e15f | Correct Word Usage |  |  | no | Assertion: A semicolon can join two independent clauses without a coordinating conjunction. Reason: A semicolon is used... | -
24 | deb270a1-f776-4f76-9338-088348552105 | Match the Following |  |  | no | Match List I (figure of speech) with List II (definition). List I: A Metaphor, B Hyperbole, C Oxymoron, D Onomatopoeia.... | -
25 | ec6fbfb4-32c2-4bf1-8434-54c8005e0b66 | Vocabulary |  |  | no | A student understands that "un-" often means "not" or "opposite of." When they see the word "unhappy," they correctly d... | -
26 | 89e01410-8940-4ece-a973-f1e88aa58716 | Match the Following |  |  | no | Match List I with List II and select the correct answer using the code given below: List I (Figure of Speech) A. Allite... | -
27 | b4a3fbae-4a93-49f6-be47-83b7000cd8e8 | Match the Following |  |  | no | Match List I with List II: List I (Reading Technique) (a) Skimming (b) Scanning List II (Purpose) (i) Finding specific ... | -
28 | 6e825b79-e434-487d-b7e6-916d19682123 | Vocabulary |  |  | no | Which word best conveys a somber mood in the context of poetry describing an approaching evening? | -
29 | b261cbe2-4022-4413-b7b4-a1cc97c67306 | Match the Following |  |  | no | Match the words in List I to the dominant connotative label in List II. List I: (1) svelte, (2) scrawny, (3) slender, (... | -
30 | 361f280a-bbd8-4aab-b0c4-22b7adbc85e0 | Match the Following |  |  | no | Match List I (poetic term) with List II (brief definition). List I: A Enjambment, B Caesura, C Refrain, D Stanza. List ... | -
31 | 88051c7e-8da6-4b61-a35a-ec279375309f | Match the Following |  |  | no | Match List I (Sentence type) with List II (Example): List I: 1 Declarative 2 Interrogative 3 Imperative 4 Exclamatory L... | -
32 | 7c67f9ec-3490-476e-89d2-eb65c4d100f5 | Para Jumbles |  |  | no | Arrange the following parts to form a meaningful sentence: P. for the test Q. Riya studied R. all night S. carefully | -
33 | c8f2eeea-e39f-4272-9ab9-5cd9469c84b2 | Match the Following |  |  | no | Match List I (types of prose) with List II (primary purpose). List I: 1 Narrative 2 Expository 3 Persuasive 4 Descripti... | -
