
> mockmob@0.1.0 nta:sample
> node --use-system-ca scripts/nta-sample.mjs --subject=business-studies --runs=1


## Loaded 441 candidate rows for business_studies

# NTA sample subject=business_studies run=1
selected=50/50 canBuild50=true durationMinutes=60
topRejectReasons=[{"reason":"generic_textbook_one_liner","count":13},{"reason":"orphan_passage_question","count":12},{"reason":"question_missing_or_too_short","count":1}]
idx | id | chapter | type | passage_group_id | real_passage | text | warnings
---: | --- | --- | --- | --- | --- | --- | ---
1 | 36112636-9945-4abc-bcd7-c70e7179244c | Consumer Protection | application_based |  | no | A consumer purchased a packaged food item that did not list an important allergen on the label. The consumer suffered a... | -
2 | a8cfb265-0fab-47c0-8ae9-d4d6e19a44e9 | Entrepreneurship Development | statement_based |  | no | Consider the following statements regarding the entrepreneurial process: Statement I: Opportunity identification is the... | -
3 | 4336d5cb-fc0b-4ee3-9c31-f67fe8e86f64 | Planning | statement_based |  | no | Statement I: Planning is a mental exercise that requires logical and systematic thinking rather than guesswork. Stateme... | -
4 | 76a7aabb-a3ad-4c1b-90b5-a1b47e883962 | Financial Management | assertion_reason |  | no | Assertion (A): Capital budgeting decisions involve long-term commitments of funds and affect the risk and profitability... | -
5 | 37035d56-40eb-4610-9087-8b0bd7032661 | Nature & Significance of Management |  |  | no | A team leader gives on-the-spot directions to workers to change sequence of tasks and also records the outcome in daily... | -
6 | 594f3606-4831-4df3-b55a-2adf6248814f | Marketing Management |  |  | no | A retailer sold a batch of defective electrical items to consumers; the manufacturer denies responsibility claiming the... | -
7 | 31b45d5b-2be3-4bc8-8808-9b11ed9da77c | Staffing |  |  | no | Which of the following staffing actions is primarily an organizing decision rather than a staffing decision, though bot... | -
8 | b30a8267-484d-4790-8802-6aecb62851ff | Business Environment |  |  | no | Which of the following illustrations best differentiates between 'controlling' as a function and 'controlling' as mere ... | -
9 | 42fcb703-0c2f-4afc-b072-6baf222b3c93 | Nature & Significance of Management |  |  | no | Assertion: Management ensures efficiency and effectiveness. Reason: By using resources judiciously and achieving goals,... | -
10 | f7e020b2-15b6-4f8b-93c7-0a5a05b8e0d7 | Nature & Significance of Management |  |  | no | A company faces a sudden drop in sales. The top management decides to analyze the market trends and competitor strategi... | -
11 | 7261d8e5-de62-4900-a3ce-bbeb310fe4fa | Entrepreneurship Development |  |  | no | Which of the following best describes the primary objective of Entrepreneurship Development Programmes (EDPs)? | -
12 | cb766fea-3015-4efd-8318-5138781270fb | Principles of Management |  |  | no | The process of setting performance standards is a crucial part of which management function? | -
13 | ddb7471c-1ed5-4962-8cd0-4a7be5e78914 | Consumer Protection |  |  | no | Assertion: A certificate mark (e.g., quality mark) on packaging guarantees absolute immunity for seller against any con... | -
