
> mockmob@0.1.0 nta:sample
> node --use-system-ca scripts/nta-sample.mjs --subject=economics --runs=1


## Loaded 459 candidate rows for economics

# NTA sample subject=economics run=1
selected=50/50 canBuild50=true durationMinutes=60
topRejectReasons=[{"reason":"generic_textbook_one_liner","count":23},{"reason":"orphan_passage_question","count":5},{"reason":"question_missing_or_too_short","count":5},{"reason":"options_invalid","count":1}]
idx | id | chapter | type | passage_group_id | real_passage | text | warnings
---: | --- | --- | --- | --- | --- | --- | ---
1 | 37ab9423-c4be-4b4e-aa4e-e64bcb6977ad | Money & Banking | application_based |  | no | The central bank wants to reduce inflation by contracting the money supply. Which of the following policy actions is LE... | -
2 | 10fdef01-2f99-4079-bb15-5e62a1002b37 | Government Budget & the Economy | assertion_reason |  | no | Assertion: Fiscal deficit is the difference between total expenditure and total receipts excluding borrowings. Reason: ... | -
3 | 81d66632-2de9-4ffa-92e9-ae100cd4fd88 | Government Budget & the Economy | application_based |  | no | If the government increases subsidies on food and fertilizers without raising taxes and without changing other expendit... | -
4 | 94ee4b2c-c897-46cc-8c67-8055eecd85ba | Indian Economy on the Eve of Independence | statement_based |  | no | Read the statements and choose the correct option. Statement I: India's birth rate and death rate were both high at ind... | -
5 | 757b1265-a61e-4cf4-8869-e6773661df72 | Money & Banking | statement_based |  | no | Consider the following statements about money supply in India: Statement I: M1 includes currency with the public and de... | -
6 | 88787ffb-9834-4e2b-96f6-0cbe1e95fe3d | Production & Costs | statement_based |  | no | Consider the following statements regarding the relationship between Average Product (AP) and Marginal Product (MP) of ... | -
7 | 8afa476a-86d8-4511-ac6c-6d52960c8259 | Money & Banking | statement_based |  | no | Consider the following statements regarding money supply in India: Statement I: M1 includes currency with the public an... | -
8 | e50d280c-7037-45f4-8ce3-5dec4a4cce11 | Government Budget & the Economy | statement_based |  | no | Read the statements about capital and revenue items in the government budget: Statement I: Construction of a highway is... | -
9 | 12b99a89-2bd2-423e-80bd-f04d81cbc83a | Indian Economy on the Eve of Independence | statement_based |  | no | Read the statements and choose the correct option: Statement I: The colonial government built railways primarily to mob... | -
10 | 2cd3f1f7-08f9-4e77-b661-fb24498986a7 | Indian Economy on the Eve of Independence | statement_based |  | no | Read the statements and choose the correct option. Statement I: On the eve of independence, India's population was char... | -
11 | dc7a6b30-6892-4267-a0b8-dd2156938fcc | Indian Economy on the Eve of Independence | comparison_based |  | no | Which of the following best explains the paradox of colonial India's trade surplus coinciding with its economic underde... | -
12 | 82947c5c-14ef-4832-94f5-f54d11075f59 | Money & Banking | application_based |  | no | The central bank decides to increase the cash reserve ratio (CRR) from 4% to 6%. Which of the following is the most lik... | -
13 | fd95b270-de9b-4d63-9568-44b654bb185a | Money & Banking | statement_based |  | no | Consider the following statements about money supply: Statement I: M1 includes currency with the public and demand depo... | -
14 | aa190017-b466-4810-8797-20840930a8c6 | Rural Development |  |  | no | Assertion: A rising fiscal deficit in the national budget can potentially reduce funds available for rural public inves... | -
15 | d3075648-5b1d-4b3b-9507-a5a96081a6d5 | Income Determination |  |  | no | Assertion: A higher marginal propensity to import reduces the value of the fiscal multiplier in an open economy. Reason... | -
16 | f43c5d69-c1c3-43b8-9a75-1dfa62162c67 | Theory of Firms under Perfect Competition |  |  | no | Case: An industry of identical firms in perfect competition faces a sudden one‑time increase in market demand, raising ... | -
